iter	Passed	Remaining
0	4	2150
1	12	3023
2	15	2591
3	19	2386
4	22	2181
5	26	2201
6	32	2261
7	35	2163
8	37	2054
9	41	2045
10	46	2061
11	49	1994
12	51	1923
13	54	1878
14	56	1829
15	59	1807
16	62	1777
17	64	1736
18	67	1701
19	70	1682
20	72	1653
21	74	1626
22	77	1598
23	78	1566
24	81	1544
25	83	1526
26	86	1507
27	88	1489
28	90	1472
29	93	1461
30	95	1451
31	98	1438
32	100	1425
33	103	1412
34	103	1381
35	105	1360
36	107	1349
37	110	1341
38	113	1336
39	115	1331
40	118	1323
41	120	1314
42	123	1308
43	125	1299
44	127	1291
45	130	1285
46	132	1277
47	135	1272
48	137	1265
49	139	1258
50	142	1257
51	145	1252
52	147	1246
53	150	1243
54	153	1238
55	155	1235
56	159	1235
57	161	1234
58	165	1236
59	169	1239
60	172	1241
61	187	1325
62	191	1326
63	193	1321
64	196	1317
65	199	1314
66	202	1308
67	205	1304
68	208	1301
69	211	1296
70	213	1290
71	216	1284
72	219	1281
73	222	1278
74	224	1272
75	226	1266
76	229	1260
77	232	1256
78	234	1251
79	237	1247
80	240	1241
81	242	1237
82	245	1234
83	248	1230
84	250	1224
85	256	1237
86	259	1230
87	262	1227
88	264	1222
89	267	1217
90	269	1212
91	272	1206
92	275	1203
93	277	1199
94	280	1194
95	283	1191
96	286	1188
97	288	1185
98	291	1181
99	294	1176
100	296	1172
101	299	1167
102	301	1163
103	304	1160
104	307	1155
105	309	1150
106	312	1146
107	315	1144
108	317	1140
109	320	1137
110	323	1132
111	325	1128
112	328	1125
113	332	1124
114	335	1121
115	337	1117
116	340	1113
117	342	1109
118	345	1105
119	348	1103
120	351	1099
121	353	1095
122	356	1091
123	358	1087
124	361	1084
125	364	1081
126	366	1076
127	369	1073
128	371	1068
129	373	1064
130	376	1060
131	380	1059
132	382	1056
133	385	1053
134	388	1049
135	390	1045
136	393	1043
137	396	1039
138	399	1036
139	401	1032
140	404	1028
141	406	1025
142	409	1023
143	412	1018
144	414	1014
145	416	1010
146	419	1007
147	422	1003
148	425	1001
149	427	997
150	429	993
151	431	988
152	434	985
153	437	982
154	439	978
155	442	975
156	444	970
157	446	967
158	449	963
159	452	960
160	454	957
161	457	955
162	460	951
163	462	947
164	465	944
165	467	940
166	469	937
167	472	934
168	475	930
169	477	926
170	481	925
171	483	921
172	485	918
173	488	915
174	490	911
175	493	908
176	495	904
177	498	900
178	500	897
179	503	894
180	505	890
181	507	886
182	509	882
183	511	879
184	514	875
185	516	872
186	519	868
187	521	865
188	523	861
189	526	858
190	528	855
191	530	851
192	533	847
193	535	844
194	537	840
195	540	837
196	542	834
197	544	830
198	546	826
199	548	822
200	550	818
201	552	815
202	555	812
203	557	808
204	559	804
205	560	800
206	563	797
207	565	793
208	567	789
209	569	786
210	571	782
211	573	779
212	575	775
213	577	772
214	579	768
215	581	764
216	584	761
217	586	758
218	588	754
219	590	751
220	592	748
221	594	744
222	596	741
223	598	738
224	601	734
225	603	731
226	605	728
227	607	724
228	609	721
229	611	718
230	614	715
231	616	711
232	618	708
233	620	705
234	622	702
235	624	698
236	626	695
237	629	692
238	631	689
239	633	686
240	635	682
241	637	679
242	639	676
243	641	673
244	643	670
245	646	667
246	648	663
247	650	660
248	652	657
249	654	654
250	656	651
251	659	648
252	661	645
253	663	642
254	665	639
255	667	636
256	670	633
257	672	630
258	674	627
259	676	624
260	678	621
261	680	617
262	682	615
263	684	612
264	687	609
265	689	606
266	691	603
267	693	600
268	695	597
269	697	594
270	699	590
271	701	588
272	703	585
273	705	582
274	707	578
275	709	575
276	711	572
277	713	569
278	715	566
279	717	563
280	719	560
281	721	557
282	724	555
283	726	552
284	728	549
285	730	546
286	732	543
287	735	541
288	737	538
289	740	535
290	742	533
291	744	530
292	746	527
293	749	524
294	751	522
295	753	519
296	755	516
297	757	513
298	760	511
299	762	508
300	764	505
301	767	503
302	769	500
303	771	497
304	774	494
305	776	492
306	778	489
307	780	486
308	782	483
309	784	480
310	786	477
311	788	474
312	790	472
313	792	469
314	794	466
315	796	463
316	798	460
317	800	457
318	802	455
319	804	452
320	806	449
321	808	446
322	810	444
323	812	441
324	814	438
325	817	436
326	820	433
327	823	431
328	826	429
329	829	427
330	832	424
331	835	422
332	838	420
333	840	417
334	843	415
335	845	412
336	848	410
337	850	407
338	852	404
339	854	402
340	857	399
341	859	396
342	861	394
343	863	391
344	865	388
345	867	386
346	869	383
347	871	380
348	873	377
349	875	375
350	877	372
351	879	369
352	881	367
353	883	364
354	885	361
355	887	358
356	889	356
357	891	353
358	894	351
359	896	348
360	899	346
361	902	343
362	904	341
363	907	339
364	910	336
365	913	334
366	915	331
367	918	329
368	920	326
369	923	324
370	927	322
371	930	320
372	933	317
373	936	315
374	939	313
375	943	311
376	948	309
377	951	307
378	954	304
379	957	302
380	961	300
381	963	297
382	966	295
383	970	293
384	973	290
385	978	289
386	981	286
387	984	284
388	990	282
389	994	280
390	997	278
391	1002	276
392	1005	273
393	1009	271
394	1011	268
395	1017	267
396	1019	264
397	1022	262
398	1029	260
399	1031	257
400	1036	255
401	1055	257
402	1060	255
403	1063	252
404	1066	250
405	1071	248
406	1075	245
407	1077	243
408	1080	240
409	1087	238
410	1090	236
411	1092	233
412	1095	230
413	1100	228
414	1103	225
415	1105	223
416	1109	220
417	1111	218
418	1115	215
419	1120	213
420	1123	210
421	1126	208
422	1130	205
423	1133	203
424	1136	200
425	1141	198
426	1144	195
427	1147	192
428	1150	190
429	1152	187
430	1156	185
431	1159	182
432	1162	179
433	1164	177
434	1167	174
435	1169	171
436	1172	169
437	1175	166
438	1178	163
439	1180	161
440	1182	158
441	1185	155
442	1187	152
443	1190	150
444	1193	147
445	1195	144
446	1197	141
447	1199	139
448	1201	136
449	1204	133
450	1206	131
